time_s,waypoint,state,n_objects,classes,frame_path
278.73,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_278.7s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_278.7s.jpg
280.76,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_280.8s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_280.8s.jpg
282.77,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_282.8s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_282.8s.jpg
284.78,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_284.8s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_284.8s.jpg
286.81,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_286.8s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_286.8s.jpg
288.83,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_288.8s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_288.8s.jpg
290.84,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_290.8s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_290.8s.jpg
292.86,4,NAVIGATING,1,person,/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_0_292.9s.jpg;/home/tapaswee/clearpath_ws/logs/vision/yolo_stop_1_292.9s.jpg
341.59,4,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_0_341.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_1_341.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_2_341.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_3_341.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_4_341.6s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp4_arrival_5_341.6s.jpg
432.18,5,WAYPOINT_ARRIVED,0,,/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_0_432.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_1_432.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_2_432.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_3_432.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_4_432.2s.jpg;/home/tapaswee/clearpath_ws/logs/vision/wp5_arrival_5_432.2s.jpg
