#{"t_start": 1775119134.139141, "env_id": "None"}
r,l,t
-50.0,1,559.711261
-50.0,1,560.91809
-50.0,1,562.121808
-50.0,1,563.327023
-50.0,1,564.531116
-50.0,1,565.73842
-50.0,1,566.943054
-50.0,1,568.146892
-50.0,1,569.351912
-50.0,1,570.557932
-50.0,1,571.762266
-50.0,1,572.967255
-50.0,1,574.170492
-50.0,1,575.375628
-50.0,1,576.579164
-50.0,1,577.783579
-50.0,1,578.987903
-50.0,1,580.19499
-50.0,1,581.399382
-50.0,1,582.603044
-50.0,1,583.807439
-50.0,1,585.014267
-50.0,1,586.217796
-50.0,1,587.42161
-50.0,1,588.625839
-50.0,1,589.831365
-50.0,1,591.036557
-50.0,1,592.240486
-50.0,1,593.44384
-50.0,1,594.650434
-50.0,1,595.854564
-50.0,1,597.060312
-50.0,1,598.264612
-50.0,1,599.473076
-50.0,1,600.677321
-50.0,1,601.884697
-50.0,1,603.088761
-50.0,1,604.29426
-50.0,1,605.497912
-50.0,1,606.701113
-50.0,1,607.904501
-50.0,1,609.11222
